molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513,益智仁,Yizhiren
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397,益智仁,Yizhiren
9355,MOL009355,wjn_yz_Molecule299.mol2,sitosterol palmitate,30.9050890993,653.250,15.061,1.46872,0.70064,9.009258,0,2,0.40049,0.18779902,益智仁,Yizhiren
4624,MOL004624,lh_ch_Molecule2838.mol2,Longikaurin A,47.7221498383,348.480,1.162,0.08296,0.08720,1.710894,3,5,0.53015,0.27365351,五味子,Wuweizi
5317,MOL005317,lh_rs_Molecule2383.mol2,Deoxyharringtonine,39.2744398817,515.660,3.127,0.18714,-0.24531,7.898127,1,9,0.8116,0.22551122,五味子,Wuweizi
8956,MOL008956,wjn_bwwz_Molecule32.mol2,Angeloylgomisin O,31.9653894482,498.620,5.959,0.83020,0.40534,7.997863,0,8,0.84763,0.21411294,五味子,Wuweizi
8957,MOL008957,wjn_bwwz_Molecule33.mol2,Schizandrer B,30.70577053,514.620,4.945,0.65941,0.15116,9.400036,1,9,0.82854,0.19951251,五味子,Wuweizi
8968,MOL008968,wjn_bwwz_Molecule58.mol2,Gomisin-A,30.6937534295,416.510,3.852,0.63360,-0.02263,5.088438,1,7,0.77723,0.17027058,五味子,Wuweizi
8974,MOL008974,wjn_bwwz_Molecule64.mol2,Gomisin G,32.67834097,508.610,5.191,0.73032,0.16342,8.498748,1,8,0.82713,0.21489508,五味子,Wuweizi
8978,MOL008978,wjn_bwwz_Molecule68.mol2,Gomisin R,34.84255546,400.460,3.834,0.60465,0.03731,9.539573,1,7,0.85805,0.20465718,五味子,Wuweizi
8992,MOL008992,wjn_bwwz_Molecule95.mol2,Wuweizisu C,46.266857212,384.460,4.869,1.08414,0.49518,8.720743,0,6,0.8436,0.19889733,五味子,Wuweizi
1559,MOL001559,lbh_bb_Molecule107.mol2,piperlonguminine,30.7114272607,273.360,2.934,0.95227,0.26509,8.656318,1,4,0.1802,0.35471079,山药,Shanyao
1736,MOL001736,lbh_blg_Molecule113.mol2,(-)-taxifolin,60.5062169158,304.270,1.485,-0.24278,-1.01861,14.37314,5,7,0.27342,0.40842575,山药,Shanyao
310,MOL000310,fyp_hft_Molecule54.mol2,Denudatin B,61.4723760592,356.450,2.804,0.90470,0.34780,7.71269,0,5,0.37838,0.23878755,山药,Shanyao
322,MOL000322,fyp_hft_Molecule66.mol2,Kadsurenone,54.7230128444,356.450,2.804,0.81874,0.51544,9.156194,0,5,0.37829,0.23647803,山药,Shanyao
5429,MOL005429,lh_sy_Molecule3085.mol2,hancinol,64.0132680992,372.500,2.464,0.53368,0.17190,4.056839,1,5,0.37314,0.24655533,山药,Shanyao
