Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Focal adhesion,5/201,0.00022565838122068547,0.0007186351525027983,0,0,10.076020408163265,84.60318736505032,GSK3B;CAV1;PRKCA;EGFR;VEGFA
KEGG_2021_Human,Epstein-Barr virus infection,5/202,0.00023090553898151797,0.000724203735896579,0,0,10.024365482233502,83.9390429429559,IL6;CDK4;CDK2;MAPK14;TP53
KEGG_2021_Human,TNF signaling pathway,4/112,0.0002550422357593423,0.000787966310480356,0,0,14.405954974582423,119.1960440481352,IL6;MMP3;PTGS2;MAPK14
KEGG_2021_Human,Pathways of neurodegeneration,7/475,0.0003089472701301826,0.0009302571235270104,0,0,6.069221866096866,49.05351430798352,GSK3B;IL6;PRKCA;NOS1;PTGS2;MAPK14;MTOR
KEGG_2021_Human,Intestinal immune network for IgA production,3/48,0.0003117910665437876,0.0009302571235270104,0,0,25.512820512820515,205.96952222371175,IL10;IL6;IL2
KEGG_2021_Human,cAMP signaling pathway,5/216,0.0003145797036081677,0.0009302571235270104,0,0,9.35260663507109,75.42197395557595,ADCY2;ADRB1;ADRB2;DRD1;DRD2
KEGG_2021_Human,Sphingolipid signaling pathway,4/119,0.00032147577322838144,0.00093726035293345,0,0,13.524296675191817,108.77035118693172,OPRD1;PRKCA;MAPK14;TP53
KEGG_2021_Human,Arginine and proline metabolism,3/50,0.00035195400119539483,0.0010118677534367,0,0,24.424713584288053,194.22556836269925,MAOB;MAOA;NOS1
KEGG_2021_Human,Oocyte meiosis,4/129,0.00043674651895176894,0.0012384456085344,0,0,12.436078431372549,96.20746241396766,CDK2;PGR;ADCY2;MAPK14
KEGG_2021_Human,Endometrial cancer,3/58,0.0005455315009318622,0.0015260137931472,0,0,20.863636363636363,156.76414788296267,GSK3B;TP53;EGFR
KEGG_2021_Human,Shigellosis,5/246,0.0005696044374182613,0.0015721082472744,0,0,8.175933609958506,61.07887132825554,GSK3B;MAPK14;TP53;EGFR;MTOR
KEGG_2021_Human,Fluid shear stress and atherosclerosis,4/139,0.0005788863225564194,0.0015767035364365,0,0,11.509077705156136,85.79331987388241,CAV1;MAPK14;TP53;VEGFA
KEGG_2021_Human,Parkinson disease,5/249,0.0006017362050125616,0.0016176544732155,0,0,8.074180327868852,59.87562967066218,MAOB;MAOA;DRD1;DRD2;TP53
KEGG_2021_Human,Phospholipase D signaling pathway,4/148,0.0007325032958996121,0.0019439510545028,0,0,10.784858387799565,77.85635340437672,PRKCA;ADCY2;EGFR;MTOR
KEGG_2021_Human,Inflammatory bowel disease,3/65,0.0007618349958722256,0.0019962005588044,0,0,18.50155086848635,132.8370753770771,IL10;IL6;IL2
KEGG_2021_Human,Acute myeloid leukemia,3/67,0.0008322878765925323,0.0021535448806831,0,0,17.92157451923077,127.08783795160562,MPO;MTOR;RUNX1T1
KEGG_2021_Human,Oxytocin signaling pathway,4/154,0.0008496841875321242,0.0021714151459154,0,0,10.35032679738562,73.18349492212262,PRKCA;ADCY2;PTGS2;EGFR
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,0.0009455179028946292,0.0023868561695022,0,0,17.116532721010334,119.19572946641831,TP53;EGFR;MTOR
KEGG_2021_Human,Phenylalanine metabolism,2/17,0.0009834258801979265,0.0024526404482044,0,0,50.138364779874216,347.18151684375505,MAOB;MAOA
KEGG_2021_Human,Melanoma,3/72,0.0010261664632754,0.0025287673559287,0,0,16.618729096989966,114.36885223449828,CDK4;TP53;EGFR
KEGG_2021_Human,p53 signaling pathway,3/73,0.0010680715944905,0.0026010684712887,0,0,16.380494505494507,112.0737136235778,CDK4;CDK2;TP53
KEGG_2021_Human,Wnt signaling pathway,4/166,0.0011227512922791,0.0027024362500207,0,0,9.577826192205276,65.0523378060686,FOSL1;GSK3B;PRKCA;TP53
